;Profile;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
Fläche 1;1;270;9,833;23,641;382,776;382,776;0;-9,012;112,946;634,748;0;634,748
;2;315;9,9;24,047;395,702;395,702;0;-8,589;104,565;766,172;0;766,172
;3;360;9,443;24,34;363,14;363,14;0;-9,457;114,935;832,386;0;832,386
;4;405;9,444;25,872;388,08;388,08;0;-10,255;129,503;860,35;0;860,35
;5;450;10,141;24,475;354,681;354,681;0;-8,413;94,163;899,814;0;899,814
;……..;……..;……..;……..;……..;……..;……..;……..;……..;……..;……..;……..
;185;8550;6,602;8,339;44,612;44,612;483,969;0,936;2,868;191,927;0;191,927
;186;8595;7,138;8,816;45,765;45,765;548,981;1,317;2,698;184,587;0;184,587
;187;8640;6,656;8,186;41,409;41,409;449,585;1,14;2,594;198,519;0;198,519
;188;8685;6,91;8,884;59,735;59,735;488,766;1,001;3,493;195,344;0;195,344
;189;8730;6,301;7,827;42,128;42,128;411,568;1,107;2,97;191,444;0;191,444
Fläche 2;1;270;20,222;26,089;162,127;162,127;543,746;-0,226;3,474;288,243;2586,216;288,243
;2;315;21,812;30,376;331,96;331,96;1627,613;0,065;8,086;325,322;3520,142;325,322
;3;360;21,738;28,657;209,735;209,735;589,851;-0,052;3,771;277,409;1517,994;277,409
;4;405;21,665;28,481;249,18;249,18;885,037;-0,202;4,999;278,706;1879,825;278,706
;5;450;20,297;26,925;192,798;192,798;635,033;0,177;3,738;301,595;5500,444;301,595
;……..;……..;……..;……..;……..;……..;……..;……..;……..;……..;……..;……..
;195;9000;10,01;12,626;78,813;78,813;609,861;0,16;3,227;139,773;3713,412;139,773
;196;9045;7,239;9,55;70,266;70,266;610,781;1,247;4,503;147,409;0;147,409
;197;9090;7,48;10,054;85,105;85,105;818,049;1,704;7,284;151,038;5360,619;151,038
;198;9135;9,827;12,695;87,434;87,434;969,549;0,182;3,741;153,201;1171,18;153,201
;199;9180;8,859;11,447;77,134;77,134;669,897;-0,007;3,632;181,125;605,971;181,125
Ergebnis;Mittelwert;;10,304;17,9;219,923;219,923;2830,793;1,356;28,917;526,85;3215,829;526,85
;Standard-abweichung ;;2,996;7,816;149,32;149,32;2679,864;3,463;34,634;377,067;3752,583;377,067
